Statistical profiling result from log-v8-nodegub.log, (1557 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  Function: ^<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/operations/execute_operation.js:154:61
      1    0.1%    0.1%  Function: ^<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/cursor/abstract_cursor.js:428:42
      1    0.1%    0.1%  Function: ^<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/cmap/connection_pool.js:286:27
      1    0.1%    0.1%  Function: ^<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/mongodb/lib/cmap/connection.js:60:44
      1    0.1%    0.1%  Function: ^<anonymous> /Volumes/Datos/CoderHouse/Backend/Modulo2/32-profilling-y-debug/desafio-entregable/node_modules/express/lib/router/index.js:280:64

 [C++]:
   ticks  total  nonlib   name
    741   47.6%   50.6%  T v8impl::Reference::New(napi_env__*, v8::Local<v8::Value>, unsigned int, bool, void (*)(napi_env__*, void*, void*), void*, void*)
    242   15.5%   16.5%  t __posix_spawn_file_actions_grow
     43    2.8%    2.9%  T __kernelrpc_mach_port_get_refs
     42    2.7%    2.9%  t _Builtins_LoadIC
     38    2.4%    2.6%  T _host_request_notification
     16    1.0%    1.1%  t _Builtins_StoreIC
     11    0.7%    0.8%  t _Builtins_LoadICBaseline
     10    0.6%    0.7%  T ___pthread_init
      9    0.6%    0.6%  T _mach_vm_map
      8    0.5%    0.5%  t _Builtins_KeyedLoadIC_Megamorphic
      8    0.5%    0.5%  t _Builtins_KeyedLoadIC
      8    0.5%    0.5%  t _Builtins_CallFunction_ReceiverIsNotNullOrUndefined
      8    0.5%    0.5%  T _kdebug_typefilter
      7    0.4%    0.5%  t _Builtins_KeyedStoreIC
      6    0.4%    0.4%  t __pthread_bsdthread_init
